idx,sci_name,com_name,species_code,class_name,common_name_ru,common_name_de,common_name_es,common_name_cs,common_name_fr,common_name_nl,common_name_pl,common_name_ja,common_name_pt,common_name_ca,common_name_zh-CN,common_name_bg,common_name_no,common_name_sv,common_name_da,common_name_sk,common_name_uk,common_name_tr,common_name_fi,common_name_sr,common_name_es_ES,common_name_es_MX,common_name_pt_PT,common_name_hr,common_name_es_EC,common_name_lt,common_name_fa,common_name_zh,common_name_cy
9441,Myrmotherula pacifica,Pacific Antwren,pacant,aves,Тихоокенаский муравьелов,Chocó-Strichelameisenschlüpfer,Hormiguerito del Pacífico,mravenčík pacifický,Myrmidon du Pacifique,Chocomiersluiper,mrówiaczek pacyficzny,タイヘイヒメアリサザイ,pacific antwren,formigueret del Pacífic,太平洋纵纹蚁鹩,Тихоокеанска ивичеста мраволовка,chocomaursmett,chocómyrsmyg,Vestlig Myresmutte,pralesníček pacifický,Кадук західний,Pasifik Karıncaçıvgını,panamanviirumuuranen,Pacifički mravlji carić,Hormiguerito del Pacífico,Hormiguerito del Pacífico,Pacific antwren,pacifička mravarica,Hormiguerito del Pacífico,Ramiojo vandenyno karietaitinė skruzdlesė,مورچهگیرک آرام,太平洋纵纹蚁鹩,Pacific Antwren
9442,Myrmotherula schisticolor,Slaty Antwren,slaant1,aves,Сизый муравьелов,Hochland-Ameisenschlüpfer,Hormiguerito Pizarroso,mravenčík střízlíkovitý,Myrmidon ardoisé,Leigrijze miersluiper,mrówiaczek łupkowy,ハイイロヒメアリサザイ,slaty antwren,formigueret fumat,蓝灰蚁鹩,Андска сива мраволовка,skifermaursmett,skiffermyrsmyg,Skifermyresmutte,pralesníček bridlicový,Кадук темноволий,Kül Rengi Karıncaçıvgını,liuskemuuranen,Škriljasti mravlji carić,Hormiguerito pizarroso,Hormiguerito Plomizo,Slaty antwren,sinja mravarica,Hormiguerito Pizarroso,Skalūninė karietaitinė skruzdlesė,مورچهمرغ توسی,蓝灰蚁鹩,Dryw morgrug llwytu
9443,Myrmotherula sclateri,Sclater's Antwren,sclant1,aves,Желтобокий муравьелов,Gelbstreifen-Ameisenschlüpfer,Hormiguerito de Sclater,mravenčík bělolící,Myrmidon de Sclater,Sclatermiersluiper,mrówiaczek żółtawy,キムネヒメアリサザイ,choquinha-de-garganta-amarela,formigueret de Sclater,巴西蚁鹩,Жълтокорема ивичеста мраволовка,gulbukmaursmett,gulbukig myrsmyg,Løvmyresmutte,pralesníček žltkastý,Кадук жовточеревий,Sclater Karıncaçıvgını,keltavatsamuuranen,Skleterov mravlji carić,Hormiguerito de Sclater,Hormiguerito de Sclater,Choquinha-de-garganta-amarela,kratkorepa mravarica,Hormiguerito de Sclater,Skleterio karietaitinė skruzdlesė,مورچهگیرک اسکلیتر,巴西蚁鹩,Dryw morgrug Sclater
9444,Myrmotherula snowi,Alagoas Antwren,alaant1,aves,Серый муравьелов,Alagoasameisenschlüpfer,Hormiguerito de Alagoas,mravenčík alagoaský,Myrmidon de Snow,Alagoasmiersluiper,mrówiaczek ciemnoskrzydły,アラゴアスアリサザイ,choquinha-de-alagoas,formigueret d'Alagoas,阿拉蚁鹩,Алагоаска сива мраволовка,alagoasmaursmett,alagoasmyrsmyg,Alagoasmyresmutte,pralesníček muricijský,Кадук алагоазький,Alagoas Karıncaçıvgını,alagoasinmuuranen,Alagoaški mravlji carić,Hormiguerito de Alagoas,Hormiguerito de Alagoas,Choquinha-de-alagoas,alagoaška mravarica,Hormiguerito de Alagoas,Vienspalvė karietaitinė skruzdlesė,مورچهگیرک آلاگوآس,阿拉蚁鹩,Alagoas Antwren
9445,Myrmotherula sunensis,Rio Suno Antwren,risant1,aves,Суносский муравьелов,Schwarzkehl-Ameisenschlüpfer,Hormiguerito del Suno,mravenčík sunský,Myrmidon du Suno,Rio-Sunomiersluiper,mrówiaczek śniady,タンビハイイロヒメアリサザイ,choquinha-do-oeste,formigueret del Suno,南美蚁鹩,Еквадорска сива мраволовка,sotmaursmett,ríosunomyrsmyg,Sunomyresmutte,pralesníček krátkochvostý,Кадук сунський,Rio Suno Karıncaçıvgını,savumuuranen,Kolumbijski sivi mravlji carić,Hormiguerito del Suno,Hormiguerito del Suno,Choquinha-do-oeste,srebrnasta mravarica,Hormiguerito del Suno,Suninė karietaitinė skruzdlesė,مورچهگیرک ریو سونو,Rio Suno Antwren,Dryw morgrug Rio Suno
9446,Myrmotherula surinamensis,Guianan Streaked Antwren,guista1,aves,Гвианский муравьелов,Guayana-Strichelameisenschlüpfer,Hormiguerito de Surinam,mravenčík surinamský,Myrmidon du Suriname,Guyanamiersluiper,mrówiaczek pasiasty,タテジマヒメアリサザイ,choquinha-estriada,formigueret de la Guaiana,纵纹蚁鹩,Суринамска ивичеста мраволовка,guyanamaursmett,guyanamyrsmyg,Surinam Myresmutte,pralesníček pásikavý,Кадук смугастий,Surinam Karıncaçıvgını,ruskoviirumuuranen,Gvajanski mravlji carić,Hormiguerito de Surinam,Hormiguerito de Surinam,Choquinha-estriada,surinamska mravarica,Hormiguerito Rayado Guayanés,Surinaminė karietaitinė skruzdlesė,مورچهگیرک راهراه گینه,Guianan Streaked Antwren,Dryw morgrug Swrinam
9447,Myrmotherula unicolor,Unicolored Antwren,uniant1,aves,Одноцветный муравьелов,Paranáameisenschlüpfer,Hormiguerito Unicolor,mravenčík šedý,Myrmidon unicolore,Effen miersluiper,mrówiaczek jednobarwny,ムジヒメアリサザイ,choquinha-cinzenta,formigueret unicolor,纯色蚁鹩,Едноцветна сива мраволовка,tinnmaursmett,enfärgad myrsmyg,Ensfarvet Myresmutte,pralesníček jednofarebný,Кадук ріо-грандський,Tek Renkli Karıncaçıvgını,hiirimuuranen,Jednobojni mravlji carić,Hormiguerito unicolor,Hormiguerito Unicolor,Choquinha-cinzenta,sura mravarica,Hormiguerito Unicolor,Pietinė karietaitinė skruzdlesė,مورچهگیرک تکرنگ,Unicolored Antwren,Dryw morgrug unlliw
9448,Myrmotherula urosticta,Band-tailed Antwren,batant3,aves,Белохвостый муравьелов,Schwarzbinden-Ameisenschlüpfer,Hormiguerito Atlántico,mravenčík lemoocasý,Myrmidon à queue blanche,Witstaartmiersluiper,mrówiaczek białosterny,オビオヒメアリサザイ,choquinha-de-rabo-cintado,formigueret cuabarrat,斑尾蚁鹩,Белоопашата сива мраволовка,hvittippmaursmett,bandstjärtad myrsmyg,Båndhalet Myresmutte,pralesníček bielochvostý,Кадук виноградний,Ak Kuyruklu Karıncaçıvgını,valkopyrstömuuranen,Trakorepi mravlji carić,Hormiguerito atlántico,Hormiguerito Atlántico,Choquinha-de-rabo-cintado,bahijska mravarica,Hormiguerito Atlántico,Baltauodegė karietaitinė skruzdlesė,مورچهگیرک دمنواری,Band-tailed Antwren,Dryw morgrug cynffonrhesog
9449,Myrtis fanny,Purple-collared Woodstar,pucwoo1,aves,Бирюзовый эльф,Türkiskehlelfe,Colibrí de Myrtis,kalypta duhovohrdlá,Colibri de Fanny,Purperkraagkolibrie,cęgosterek,オウギオハチドリ,purple-collared woodstar,colibrí de collar porpra,紫领蜂鸟,Перуанско горско колибри,turkiskinnkolibri,blåstrupig skogsjuvel,Purpurhalset Skovstjerne,čmeľovec modrohrdlý,Колібрі бірюзовогорлий,Mor Yakalı Ormanyıldızı,turkoosikurkkukolibri,Ljubičastovrata šumska zvezda,Colibrí de Myrtis,Colibrí de Myrtis,Purple-collared woodstar,tirkiznogrla smaragdnica,Estrellita Gargantillada,Purpurinis mirtis,داراختر یقهارغوانی,紫领蜂鸟,Seren goed torch biws
9450,Mystacornis crossleyi,Crossley's Vanga,crobab1,aves,Тимелевая ванга,Weißbartvanga,Tordina Malgache,timálie pruhohlavá,Mystacorne de Crossley,Crossleyvanga,białowąsik,ハシナガマダガスカルチメドリ,crossley's vanga,vanga de Crossley,克氏须鹛,Дългоклюна ванга,mustasjevanga,markvanga,Jordvanga,vanga bielofúza,Рунник,Crossley Vangası,penkojavanga,Kroslijeva vanga,Tordina malgache,Tordina Malgache,Crossley's vanga,dugokljuna vanga,Tordina Malgache,Mistakornis,زمینپر,Crossley's Vanga,Preblyn Crossley
9451,Myza celebensis,Dark-eared Myza,daehon1,aves,Очковая миза,Brillenhonigfresser,Mielero Chico de Célebes,květosavka malá,Méliphage des Célèbes,Sulawesihoningeter,miodownik mały,チャイロセレベスミツスイ,dark-eared myza,menjamel d'ulleres,暗耳汲蜜鸟,Кафявоух сулавески медояд,brillehonningeter,mörkörad honungsfågel,Sortøret Honningæder,medárik tmavosluchý,Медовиця мала,Selebes Balkuşu,ruskocelebesinmesikko,Smeđi miza medojed,Mielero chico de Célebes,Mielero Chico de Célebes,Dark-eared myza,sulaveški medojed,Mielero Chico de Célebes,Dark-eared Myza,Dark-eared Myza,暗耳汲蜜鸟,Mêlsugnwr brown
9452,Myza sarasinorum,White-eared Myza,grshon1,aves,Белоухая миза,Strichelbauch-Honigfresser,Mielero Grande de Célebes,květosavka větší,Méliphage à points,Mengkokahoningeter,miodownik duży,セレベスミツスイ,white-eared myza,menjamel d'orelles rosades,White-eared Myza,Белоух сулавески медояд,kastanjehonningeter,ljusörad honungsfågel,Lysøret Honningæder,medárik svetlosluchý,Медовиця велика,Selebes Dağ Balkuşu,täpläcelebesinmesikko,Belouhi miza medojed,Mielero grande de Célebes,Mielero Grande de Célebes,White-eared myza,kestenjastotrbi medojed,Mielero Grande de Célebes,White-eared Myza,White-eared Myza,白耳汲蜜鸟,Mêlsugnwr clustwyn
9453,Myzomela adolphinae,Mountain Myzomela,moumyz1,aves,Горная медовка,Berghonigfresser,Mielero de Adolfina,medosavka drobná,Myzomèle montagnard,Arfakdwerghoningeter,miodówka górska,ヤマズアカミツスイ,elfin myzomela,mel·lífer d'Adolfina,山摄蜜鸟,Планински малък медояд,alvehonningeter,bergmyzomela,Alfehonningæder,medárik horský,Медовичка гірська,Küçük Mizomela,pikkupunamesikko,Vilenjačka mizomela,Mielero de Adolfina,Mielero de Adolfina,Elfin myzomela,kratkorepi medojed,Mielero de Adolfina,Mountain Myzomela,عسلخوار کوهستانی,Mountain Myzomela,Melysor pengoch y mynydd
9454,Myzomela albigula,White-chinned Myzomela,whcmyz1,aves,Белогорлая медовка,Weißkinn-Honigfresser,Mielero Barbiblanco,medosavka bělohrdlá,Myzomèle à menton blanc,Witkindwerghoningeter,miodówka myszata,ノドジロミツスイ,white-chinned myzomela,mel·lífer gorjablanc,白颏摄蜜鸟,Белогуш малък медояд,louisiadehonningeter,louisiadmyzomela,Hvidhaget Honningæder,medárik sivohnedý,Медовичка світлогорла,Ak Gerdanlı Mizomela,louisiadenpunamesikko,Belobrada mizomela,Mielero barbiblanco,Mielero Barbiblanco,White-chinned myzomela,bjelogrli medojed,Mielero Barbiblanco,White-chinned Myzomela,عسلخوار چانهسفید,White-chinned Myzomela,Melysor genwyn
9455,Myzomela batjanensis,Bacan Myzomela,sulmyz3,aves,Bacan Myzomela,Bacanhonigfresser,Mielero de las Bacan,medosavka batjanská,Myzomèle de Bacan,Batjandwerghoningeter,miodówka szaropierśna,Bacan Myzomela,bacan myzomela,mel·lífer de les Bacan,巴占摄蜜鸟,Баджански малък медояд,bacanhonningeter,bacanmyzomela,Bacan Sulawesihonningæder,medárik bacanský,Bacan Myzomela,Baçan Mizomelası,Bacan Myzomela,Bakanska mizomela,Mielero de las Bacan,Mielero de las Bacan,Bacan myzomela,srebrnastotrbi medojed,Mielero de las Bacan,Bacan Myzomela,Bacan Myzomela,Bacan Myzomela,Bacan Myzomela
9456,Myzomela blasii,Drab Myzomela,sermyz1,aves,Скромная медовка,Amboinahonigfresser,Mielero Apagado,medosavka ambonská,Myzomèle sobre,Ambonese dwerghoningeter,miodówka bura,アンボンミツスイ,seram myzomela,mel·lífer sobri,布氏摄蜜鸟,Серамски малък медояд,skjellstrupehonningeter,ambonmyzomela,Ambon Honningæder,medárik myrtový,Медовичка амбонська,Seram Mizomelası,seraminpunamesikko,Seramska mizomela,Mielero apagado,Mielero Apagado,Seram myzomela,ljuskastogrli medojed,Mielero Apagado,Drab Myzomela,عسلخوار کدر,Drab Myzomela,Melysor Ambon
9457,Myzomela boiei,Banda Myzomela,banmyz1,aves,Танимбарская медовка,Inselhonigfresser,Mielero de las Banda,medosavka bandská,Myzomèle de Banda,Tanimbardwerghoningeter,miodówka przepasana,バンダミツスイ,banda myzomela,mel·lífer de les Banda,班达摄蜜鸟,Бандайски малък медояд,beltehonningeter,bandamyzomela,Bandahonningæder,medárik babarský,Медовичка білочерева,Banda Mizomelası,molukkienpunamesikko,Trobojna mizomela,Mielero de las Banda,Mielero de las Banda,Banda myzomela,molučki medojed,Mielero de las Banda,Banda Myzomela,عسلخوار باندا,Banda Myzomela,Banda Myzomela
9458,Myzomela caledonica,New Caledonian Myzomela,necmyz1,aves,Новокаледонская медовка,Neukaledonien-Honigfresser,Mielero de Nueva Caledonia,medosavka novokaledonská,Myzomèle calédonien,Nieuw-Caledonische dwerghoningeter,miodówka nowokaledońska,カレドニアミツスイ,new caledonian myzomela,mel·lífer de Nova Caledònia,新喀摄蜜鸟,Новокаледонски малък медояд,kanakhonningeter,nyakaledonienmyzomela,Ny Kaledonsk-honningæder,medárik novokaledónsky,Медовичка новокаледонська,Yeni Kaledonya Mizomelası,New Caledonian Myzomela,Novokaledonijska mizomela,Mielero de Nueva Caledonia,Mielero de Nueva Caledonia,New caledonian myzomela,crvenoprsi medojed,Mielero de Nueva Caledonia,New Caledonian Myzomela,عسلخوار کالدونیای جدید,New Caledonian Myzomela,New Caledonian Myzomela
9459,Myzomela cardinalis,Cardinal Myzomela,carmyz1,aves,Кардиналовая медовка,Kardinalhonigfresser,Mielero Cardenal,medosavka tangarovitá,Myzomèle cardinal,Kardinaaldwerghoningeter,miodówka kardynalska,ミツスイ,cardinal myzomela,mel·lífer cardenal,深红摄蜜鸟,Макронезийски малък медояд,kardinalhonningeter,kardinalmyzomela,Kardinalhonningæder,medárik červený,Медовичка кардиналова,Kardinal Mizomelası,kardinaalimesikko,Kardinal mizomela,Mielero cardenal,Mielero Cardenal,Cardinal myzomela,melanezijski medojed,Mielero Cardenal,Cardinal Myzomela,عسلخوار سرخقبا,Cardinal Myzomela,Melysor cardinalaidd
9460,Myzomela chermesina,Rotuma Myzomela,rotmyz1,aves,Ротумская медовка,Karmesinhonigfresser,Mielero de Isla Rotuma,medosavka rotumská,Myzomèle de Rotuma,Karmozijndwerghoningeter,miodówka karmazynowa,ムネアカミツスイ,rotuma myzomela,mel·lífer de Rotuma,罗岛摄蜜鸟,Ротумски малък медояд,rotumahonningeter,rotumamyzomela,Rotuma Honningæder,medárik červenoprsý,Медовичка ротуманська,Rotuma Mizomelası,rotumanpunamesikko,Mizomela sa ostrva Rotuma,Mielero de isla Rotuma,Mielero de Isla Rotuma,Rotuma myzomela,crvenoleđi medojed,Mielero de Isla Rotuma,Rotuma Myzomela,عسلخوار روتوما,Rotuma Myzomela,Rotuma Myzomela
9461,Myzomela chloroptera,Sulawesi Myzomela,sulmyz1,aves,Сулавесская медовка,Sulawesihonigfresser,Mielero Rojo de Célebes,medosavka celebeská,Myzomèle des Célèbes,Sulawesidwerghoningeter,miodówka szarobrzucha,セレベスクレナイミツスイ,sulawesi myzomela,mel·lífer de Sulawesi,苏拉摄蜜鸟,Сулавески малък медояд,gråbukhonningeter,sulawesimyzomela,Sulawesihonningæder,medárik celebeský,Медовичка сулавеська,Selebes Mizomelası,celebesinpunamesikko,Sulaveška mizomela,Mielero rojo de Célebes,Mielero Rojo de Célebes,Sulawesi myzomela,crvenoglavi medojed,Mielero Rojo de Célebes,Sulawesi Myzomela,عسلخوار سولاوسی,Sulawesi Myzomela,Sulawesi Myzomela
9462,Myzomela cineracea,Ashy Myzomela,ashmyz1,aves,Серая медовка,Schlichthonigfresser,Mielero Cenizo,medosavka popelavá,Myzomèle cendré,Vale dwerghoningeter,miodówka szara,ビスマルクミツスイ,ashy myzomela,mel·lífer cendrós,灰摄蜜鸟,Пепеляв малък медояд,askehonningeter,askmyzomela,Askehonningæder,medárik popolavý,Медовичка сіра,Kül Rengi Mizomela,bismarckinpunamesikko,Pepeljasta mizomela,Mielero cenizo,Mielero Cenizo,Ashy myzomela,ružičastogrli medojed,Mielero Cenizo,Ashy Myzomela,عسلخوار خاکسترگون,Ashy Myzomela,Melysor Bismarck
9463,Myzomela cruentata,Red Myzomela,redmyz2,aves,Кровавокрасная мизомела,Bluthonigfresser,Mielero Rojo,medosavka červená,Myzomèle vermillon,Rode dwerghoningeter,miodówka czerwona,アカミツスイ,red myzomela,mel·lífer vermell,红摄蜜鸟,Червен малък медояд,rødhonningeter,röd myzomela,Rød Honningæder,medárik karmínový,Red Myzomela,Kırmızı Mizomela,punamesikko,Jarkocrvena mizomela,Mielero rojo,Mielero Rojo,Red myzomela,crveni medojed,Mielero Rojo,Red Myzomela,عسلخوار سرخ,Red Myzomela,Melysor coch
9464,Myzomela dammermani,Sumba Myzomela,summyz1,aves,Зондская медовска,Sumbahonigfresser,Mielero de Sumba,medosavka sumbská,Myzomèle de Sumba,Soembadwerghoningeter,miodówka wyspowa,スンバミツスイ,sumba myzomela,mel·lífer de Sumba,松巴摄蜜鸟,Сумбански малък медояд,sumbahonningeter,sumbamyzomela,Sumbahonningæder,medárik sumbský,Медовичка сумбейська,Sumba Mizomelası,sumbanpunamesikko,Mizomela sa ostrva Sumba,Mielero de Sumba,Mielero de Sumba,Sumba myzomela,sumpski medojed,Mielero de Sumba,Sumba Myzomela,عسلخوار سومبا,Sumba Myzomela,Sumba Myzomela
9465,Myzomela eichhorni,Crimson-rumped Myzomela,yevmyz1,aves,Краснопоянисничная медовка,Rotbürzel-Honigfresser,Mielero de Eichhorn,medosavka červenokostřecová,Myzomèle à ventre jaune,Roodstuitdwerghoningeter,miodówka krasnorzytna,コシアカミツスイ,yellow-vented myzomela,mel·lífer d'Eichhorn,黄臀摄蜜鸟,Жълтокорем малък медояд,blodstrupehonningeter,newgeorgiamyzomela,Gulbuget Honningæder,medárik šalamúnsky,Медовичка червоногуза,Eichhorn Mizomelası,salomoninmesikko,Žutotrba mizomela,Mielero de Eichhorn,Mielero de Eichhorn,Yellow-vented myzomela,grimiznogrli medojed,Mielero de Eichhorn,Crimson-rumped Myzomela,عسلخوار دمگاهزرشکی,Crimson-rumped Myzomela,Melysor tinfelyn
9466,Myzomela eques,Ruby-throated Myzomela,retmyz1,aves,Красногорлая медовка,Rotkehl-Honigfresser,Mielero Barbirrojo,medosavka rubínovohrdlá,Myzomèle à menton rouge,Roodkindwerghoningeter,miodówka czerwonogardła,アカボシミツスイ,ruby-throated myzomela,mel·lífer gorja-roig,红喉摄蜜鸟,Рубиненогуш малък медояд,rødstrupehonningeter,rubinstrupig myzomela,Rubinstrubet Honningæder,medárik džungľový,Медовичка червоногорла,Yakut Boğazlı Mizomela,punakurkkumesikko,Rubin mizomela,Mielero barbirrojo,Mielero Barbirrojo,Ruby-throated myzomela,crvenogrli medojed,Mielero Barbirrojo,Ruby-throated Myzomela,عسلخوار گلویاقوتی,Ruby-throated Myzomela,Melysor gwddf rhuddem
